time	V(vo)	I(Ro)
1.591257360775492e-06	2.428226e+01	4.336118e-01
1.601149562088788e-06	2.428183e+01	4.336042e-01
1.607774981782564e-06	2.428154e+01	4.335990e-01
1.614296722629582e-06	2.428126e+01	4.335940e-01
1.620245593410979e-06	2.428100e+01	4.335894e-01
1.624556279288675e-06	2.428082e+01	4.335860e-01
1.629352189114197e-06	2.428061e+01	4.335823e-01
1.635134196563415e-06	2.428036e+01	4.335778e-01
1.640661845799321e-06	2.428012e+01	4.335735e-01
1.648296425365084e-06	2.427979e+01	4.335676e-01
1.655886111028015e-06	2.427946e+01	4.335618e-01
1.664105548812925e-06	2.427910e+01	4.335554e-01
1.672309622261295e-06	2.427875e+01	4.335490e-01
1.681011891440862e-06	2.427837e+01	4.335423e-01
1.690715787042857e-06	2.427795e+01	4.335348e-01
1.701203578586066e-06	2.427749e+01	4.335267e-01
1.715629903056154e-06	2.427687e+01	4.335155e-01
1.729790157714226e-06	2.427625e+01	4.335046e-01
1.754370117890841e-06	2.427519e+01	4.334855e-01
1.781822257674454e-06	2.427400e+01	4.334643e-01
1.836482801395936e-06	2.427163e+01	4.334220e-01
1.909490091133934e-06	2.426847e+01	4.333655e-01
2.021312599815445e-06	2.426362e+01	4.332789e-01
2.132879290215467e-06	2.425879e+01	4.331926e-01
2.295246622442335e-06	2.425175e+01	4.330671e-01
2.454176847065462e-06	2.424487e+01	4.329442e-01
2.672944663566559e-06	2.423540e+01	4.327751e-01
2.912944663566869e-06	2.422502e+01	4.325897e-01
3.152944663567178e-06	2.421464e+01	4.324043e-01
3.392944663567488e-06	2.420426e+01	4.322190e-01
3.632944663567797e-06	2.419389e+01	4.320338e-01
3.872944663568106e-06	2.418353e+01	4.318487e-01
4.112944663568416e-06	2.417316e+01	4.316637e-01
4.352944663568725e-06	2.416281e+01	4.314787e-01
4.592944663569035e-06	2.415245e+01	4.312938e-01
4.832944663569344e-06	2.414211e+01	4.311090e-01
5.072944663569653e-06	2.413176e+01	4.309243e-01
5.312944663569963e-06	2.412142e+01	4.307396e-01
5.552944663570272e-06	2.411109e+01	4.305551e-01
5.792944663570582e-06	2.410075e+01	4.303706e-01
6.032944663570891e-06	2.409043e+01	4.301862e-01
6.272944663571201e-06	2.408010e+01	4.300019e-01
6.512944663571510e-06	2.406979e+01	4.298176e-01
6.752944663571819e-06	2.405947e+01	4.296335e-01
6.992944663572129e-06	2.404916e+01	4.294494e-01
7.232944663572438e-06	2.403886e+01	4.292654e-01
